Title,Title_link,salary,tag-list,tag-list1,job-area,info-public,Thumbnail,company-name,company-tag-list,company-tag-list1,tag-list2,tag-list3,info-desc,company-tag-list2,tag-list4,tag-list5,tag-list6,Headline,Field1,Field2,Field3
Python AI 后端工程师,https://www.zhipin.com/job_detail/4c29d08090009d791H1829--GFRX.html?lid=5VqE11lZkaq.search.1&securityId=aBRKUpHpBKdM6-N13Cs_Ql9WRL5kT_KlTuQ6SDbigvChOGRqqeL6mONhvreAgzpJAlkszFW5Ufn4TV0VHjJeidmOiiR3x8SXZ4iASiGyt5ZjoFoYjII~&sessionId=,15-30K,Python,3-5年,上海·嘉定区·江桥,吴女士HR,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190418/ae6cfab941f9c00a518e2ace954346767d466592569f259197255c9e2f8d9f26.jpg?x-oss-process=image/resize,w_100,limit_0",优矩互动,广告营销,已上市,Docker,Redis,加班补助，五险一金，年终奖，节日福利，免费班车，餐补，带薪年假，零食下午茶,1000-9999人,架构设计经验,Linux开发/部署经验,分布式经验,Python AI 后端工程师,"分布式经验
                                    Docker
                                    微服务经验
                                    机器学习经验
                                    Redis
                                    架构设计经验
                                    Linux开发/部署经验
                                    Python",主要职责：1. 设计、开发和维护后端服务和API，以支持AI大模型应用。2. 和前端开发团队紧密合作，确保数据处理流程高效、可靠。3. 优化后端系统的性能和扩展性，保证系统的高可用性和稳定性。4. 参与系统架构设计和技术决策，推动技术创新和最佳实践。5. 编写高质量的代码和技术文档，进行代码审查和技术分享。6. 监控系统运行状态，及时发现和解决潜在问题。任职要求：1. 计算机科学、软件工程或相关专业本科及以上学历。2. 3年以上后端开发经验，熟悉Python后端开发语言，Java 加分项不3. 熟悉数据库系统（如MySQL、PostgreSQL、MongoDB等）和相关数据处理技术。4. 熟悉分布式系统和微服务架构，具有高并发系统设计和开发经验。5. 熟悉CI/CD流程和工具（如Jenkins、GitLab CI）。6. 熟悉云计算平台（如阿里云，火山云）和容器技术（如Docker、Kubernetes）。7. 具有良好的问题解决能力和团队合作精神，有很强的自驱力，能在一定压力下独立完成任务。优先考虑：1. 有向量数据库系统（Vector DB）项目的实开发际经验。2. 了解机器学习模型和大模型（LLM）的工作原理；有大模型提示工程（prompt engineering）相关经验的优先。3. 熟悉大模型开发框架（LangChain）。,优矩互动（股票代码：01948.HK），是中国在线营销解决方案行业的先驱及市场领导者，成立于2015年，集团整体规模达上千人，总部位于北京，在上海、重庆、广州、武汉、杭州设有分公司，可提供多地就业的机会。集团拥有近1万平的办公区域，年轻现代化的办公环境，园区内配有食堂、健身房。       自2015年起，公司营业额迅速增长，从最初的3亿增长至150亿，2023年预计完成200亿的目标。整合营销业务       该业务板块以技术和资源为驱动，为广告主提供整合营销方案以及移动端各类广告资源，资源主要涵盖搜索、信息流、应用市场、APP等几大类目。客户类型包括金融、电商、网服、教育、汽车、旅游等，呈现金字塔型健康客户结构，客户量级大，集中于KA头部客户，先后与京东、苏宁、淘宝、拼多多、易车、携程等知名公司达成长期战略合作。       荣获多个媒体行业大奖——巨量引擎E-UP效果营销大赛、阿里营销大赏、360优化大赛、快手短视频营销案例大赛等。电商业务       该业务板块主要提供账号运营、广告投放、直播带货、营销活动、达人种草等服务，面向快消、数码、教育等行业客户提供托管式的电商解决方案。       通过完备的达人培养方案以及大量头部达人资源，结合精准、高效的投放方案和多样的直播玩法，可以在短时间内为客户达成高GMV和ROI。       优矩互动重视人才发展，认为人才是集团最宝贵的资源，提供多通道发展机会，同事nice，年轻有活力，沟通内耗小，有愉悦的公司氛围。福利待遇：五险一金+带薪年假+绩效激励+午餐补助+技能培训+业余活动+节日活动+定期团建+免费班车
Python 开发,https://www.zhipin.com/job_detail/3e18a20d09bbf2eb1HZ73tS-F1BS.html?lid=5VqE11lZkaq.search.2&securityId=jF4IT29XeU3ZS-B12lh-9Nqhej7ou5EoznYMrD0oZ68xrlROpyZs72R8_38CH4EbkDjgZKaWhHtKkqxFie8yLL9-Owl5TJ9vSFX5po752LGvyf1oM90~&sessionId=,25-30K·13薪,Python,5-10年,上海·浦东新区·陆家嘴,张女士招聘主管,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",瑞伍德,电子/半导体/集成电路,100-499人,Docker,MySQL,,,,,,Python 开发,"Docker
                                    MySQL
                                    Python","1. Advanced Python software coding experience for production hardware test, 3+；2. Work experience with cloud database technologies；3.Have experience production data visualization and report generation, 2+；Camera/optical",
Python Data Engineer,https://www.zhipin.com/job_detail/4dac382c7eb24c5b1HN62t26EVBT.html?lid=5VqE11lZkaq.search.3&securityId=2BFZ4WSkcNUaI-M1I9GVCrXMvTHFnNFC2lFL4ROJfdZwuZTbQsOH8HfExv57tBeFpi22YGKmS8JO-PnC7a8HuAFz7jtzh5DOnpAJ_2Q472IFpmux&sessionId=,18-30K·13薪,Python,3-5年,上海·长宁区·北新泾,段女士Sr. Recruiter,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230926/7bf6f160950405e94a47b8b8a87589fec764f95f78917690035ee9145ad57b238760e473175f992e.png.webp?x-oss-process=image/resize,w_100,limit_0",LexisNexis,计算机软件,不需要融资,Numpy,Pandas,补充医疗保险，节日福利，生日福利，员工旅游，五险一金，带薪年假，团建聚餐，年终奖,10000人以上,Docker,MySQL,Redis,Python Data Engineer,"Docker
                                    Pandas
                                    MySQL
                                    机器学习经验
                                    Redis
                                    架构设计经验
                                    Linux开发/部署经验
                                    Numpy
                                    Python","A Python data engineer with more than 7 years with bachelor degree or 4 years master degree backend development experience (including 3 years Python-based skillsets)Workable English, fluent in written, conduct technical research & PoC, propose, evaluate and implement the technical solution, and contribute to mentor/promote Jr engineerTech Skillsets1. Python basic（Python语法，如何实现需求功能）2. Python Commonly used third-party libraries:（数据分析第三方包）     1. Pandas     2. Numpy     3. scikit-learn     4. SQL3. Machine-Learning     1. Classification（分类）     2. Regression（线性回归)     3. Decision Tree（决策树）     4. Support Vector Machine（支持向量机）4. Test case design（测试）     1. Test case design（设计测试用例）     2. Automated testing（自动化测试）     3. Test reporting and evaluation（编写测试报告及评估）","律商联讯是励讯集团（RELX Group PLC ）的旗下公司，总部位于英国伦敦，成立于1818年，全球拥有超11000名员工，为全球150多个国家和地区的客户提供世界领先的法律内容和技术解决方案，帮助法律、企业、税务、政府、学术和非营利性组织的专业人员做出知情决策，实现更好的业务发展。公司官网：https://www.lexisnexis.com律商联讯1994年进入中国香港，目前在大陆设有北京、上海和广州分公司。律商联讯凭借其在全球法律信息服务市场的资源优势，与中国最具实务经验的专家团队合作，相继开发了律商网和律商实践指引系列产品（www.lexiscn.com），致力于为法律专业人士提供贴近实务的工作流程，帮助其处理实务难题、撰写法律文书和高效法律检索的360度解决方案。励讯集团(RELX) 是全球领先的信息分析和决策工具提供商，为专业及商业客户提供服务。我们为180多个国家和地区的客户提供服务，在约40个国家和地区设有办事处，拥有35,000多名员工。母公司 RELX PLC 的股票在伦敦、阿姆斯特丹和纽约证券交易所交易，交易代码如下: 伦敦: REL;阿姆斯特丹: REN，纽约: RELX。公司市值约为468亿英镑/ 536亿欧元/591亿美元。*访问励讯集团中文官方网站：www.relx.cn"
python 程序员,https://www.zhipin.com/job_detail/0224153551285fa533Ny39S7GVc~.html?lid=5VqE11lZkaq.search.4&securityId=jmqtjxhLj0RPY-w1PdZUyhluoNn9zMN-KaV1anGgdvV5CGWhll6ffXido05MYfomXa7QX3I9jlRKHhPJNAkwwtI5M5gQgZ3RO5liJ6d8HnidTUI~&sessionId=,14-28K·16薪,分布式技术,经验不限,上海·浦东新区·世博,徐先生招聘者,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20210518/c8413e338a6488f539d3a382dc704f525c07b1ed92074ddc7e5f6db375d3243f.jpg?x-oss-process=image/resize,w_100,limit_0",SmartX,计算机软件,D轮及以上,虚拟机技术,容器技术,带薪年假，补充医疗保险，年终奖，零食下午茶，员工旅游，餐补，通讯补贴，节日福利，五险一金,100-499人,,,,python 程序员,"分布式技术
                                    虚拟机技术
                                    容器技术",SmartX 是一家以分布式系统为核心的基础设施厂商，在这里有最硬核的技术，如果通过此职位的面试，您将有机会与业界大牛一起打造下一代虚拟化和容器化计算平台，成为最为硬核的计算机系统与云计算领域的技术专家。岗位职责：设计和开发基于 KVM、VMware、Docker/Kubernetes 等虚拟化和容器化技术的统一管理平台；设计和开发大规模集群的异步任务调度中心，提供高并发且稳定的调度功能；设计和开发基于 KVM 虚拟机的高可用（HA）功能，保证用户业务的连续性；设计和实现健壮、清晰的 RESTful API；撰写细致的方案设计文档，并可对其他同事的代码进行审查；与测试、产品、售前和售后部门密切配合，不断提升产品质量和竞争力。任职要求：具有一年或以上软件开发工作经验；热爱编程，具有一年以上的 python 编程经验具有 webserver 后台开发经验；具有基于以下至少一种软件开发的经验，包括 MySQL、MongoDB、Redis、Cassandra、PostgreSQL、ZooKeeper 等；熟悉使用至少一种 Linux 操作系统，理解协程、线程池等基本概念；具有独立完成复杂功能的经历，能够完成完备的设计文档，清晰的接口定义，能够有效的进行任务拆分；代码风格干净简洁，具有极高的软件质量标准。加分项：有大规模集群系统的开发经验，对软件高可用，高并发有深刻的理解；有基于 KVM/Qemu、Libvirt、Openstack 等项目开发的经验；有 Kubernetes 的开发经验或代码贡献者。,北京志凌海纳科技有限公司（SmartX）成立于 2013 年，是专业的现代化 IT 基础设施产品与方案提供商。面向企业自建云需求，SmartX 提供包含虛拟化、分布式存储、软件定义网络与安全、容器管理与服务、数据保护与容灾等模块在内的超融合基础设施、 分布式存储、Kubernetes 原生存储等多样化产品组合，助力客户构建简单、弹性、可靠、开放的现代化 IT 基础设施，覆盖从传统生产业务到现代化敏态业务，从数据 中心到边缘的各类场景，推动成本降低、效率提升，并支持业务创新与数字化转型。SmartX 服务于对 IT 基础设施高度依赖的金融、制造、医疗等行业。基于专业产品与服务，SmartX 现已帮助富士康、交通银行、泰康保险集团、国泰君安证券、京东方、格力、魅族、中山大学第一附属医院、广东省人民医院、韩国 Cafe 24、ConnectWave、Shinsegae 等 1000+ 海内外客户应对数字化转型下 IT 基础设施现代化的挑战。根据 IDC 统计，SmartX 在中国超融合软件市场份额统计中位列第一，并连续三年在金融行业市场份额统计中位列第一。凭借自研能力与卓越产品，SmartX 获评国家级“专精特新”小巨人企业与 Gartner 全球全栈超融合软件推荐厂商、连续三年获评 Gartner Peer Insights 亚太区客户之选，并多次入选 Gartner、IDC、Forrester、GigaOm 等国际分析机构全球报告，作为专业厂商在全球范围内重点推荐。
Python 后端研发工程师,https://www.zhipin.com/job_detail/7b75fc55dc416d341XJ92t-8EVVS.html?lid=5VqE11lZkaq.search.5&securityId=b2nDadzcv32cw-S1mo5Nmrkpy8d9RAJ4qRKFC6de5CSdaglhh6l0tAyxjRyTXMXUJMTk0BUtoY0Fv9CHcx9UryrDt6_hQgvqRA6JWqynA7vXrK7yPQ~~&sessionId=,14-28K·13薪,数据开发,3-5年,上海·闵行区·吴泾,陈先生软件研发主管,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190315/cd1eae498f223aa53dbeb52920ba1bbec85e0d557bd16cfd2ee7ff536224eab2.png?x-oss-process=image/resize,w_100,limit_0",朴牛科技,智能硬件,未融资,Python,C/C++,餐补，年终奖，五险一金,20-99人,计算机相关专业,服务端开发经验,机器学习工程经验,Python 后端研发工程师,"数据开发
                                    Python
                                    C/C++
                                    计算机相关专业
                                    服务端开发经验
                                    机器学习工程经验","工作职责： * 负责公司产品后端接口的功能开发和代码维护 * 公司安排的其他工作内容岗位要求： * 计算机或相关专业毕业 * 熟悉计算机算法和数据结构 * 熟悉Python，有3年以上python后端项目经验(非爬虫) * 工作态度积极 * 有良好的沟通和协调能力 * 具备良好的计算机基础 和 良好的编码习惯 * 熟悉numpy,scipy,cupy(CUDA) * 掌握后端相关知识, 包括但不限于HTTP, 并发, 数据库等 * 会使用常用开发工具如vscode，git等加分项： * 熟悉C/C++/Rust * 熟悉深度学习 * 对技术有追求, 热爱学习",朴牛(上海)科技有限公司为上海交通大学科技成果转化而成立的一家集研发、生产、销售为一体的高新技术企业。公司成立于2018年8月，座落于上海市紫竹国家高新园区，由上海交通大学区域光纤通信网与新型光通信国家重点实验室光纤传感研究团队和长期从事信号处理方向具有深厚背景的研发人员以及丰富市场运作经验的人员组建而成。      分布式光纤声波传感(DAS)是利用光纤中的后向散射来获取沿线环境振动和声波的先进感知技术。DAS解调仪是能将一条光缆变成一串高性能麦克风阵列、拾取光纤所有位置的声波和振动信号的仪器。公司专注于高精度分布式光纤声波传感技术的研发、设计、制造与销售，所研发高精度分布式光纤声波传感技术已达到国内外业内顶级性能，推动相关领域科技进步和产业发展。产品和解决方案广泛应用于 防灾减灾（天然地震、城市断裂带探测、地下空间探测）；石油天然气（油气管线的泄漏及安全预警、油气井井下状态监测、油藏监测）；交通运输（铁路轮轨、铁路路基安全监测、隧道内噪声监测、隧道安全监测、高速公路路基状态监测）；民用基础设施（城市管网、机场、桥梁、大坝、市政道路、高层建筑等安全监测）；国防（边境线、海洋、港口）等各个领域。
Python/Java/C++工程师,https://www.zhipin.com/job_detail/80b3c1394dff9b691HN_39i5EVRS.html?lid=5VqE11lZkaq.search.6&securityId=MoSixvJOKUpf_-d19XLi-K7PoL95j0KVHJlTtm_3HLyx3m_tjtsBqHcFoSKMtkJLvepB2dJb8L5QLwQslzhrxFKQV0GIAJ-sc_U-Jq7mScVqxKAwsQ~~&sessionId=,13-25K·14薪,C++,经验不限,上海·浦东新区·金桥,方先生软件测试工程师,"https://c-res.zhipin.com/jrs/310218b05bfff2aa755767daeb661454.jpg?x-oss-process=image/resize,w_100,limit_0",上海华为技术有限公司,通信/网络设备,不需要融资,Java,Python,团建聚餐，法定节假日三薪，五险一金，绩效奖金，节日福利，有无线网，员工旅游，意外险，补充医疗保险，股票期权，带薪年假，节假日加班费，保底工资，零食下午茶，加班补助，定期体检，生日福利，年终奖，免费班车,10000人以上,测试开发,软件测试,,Python/Java/C++工程师,"Java
                                    C++
                                    软件测试
                                    测试开发
                                    Python",【岗位方向】【A】在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：（1）完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；（2）创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等；（3）有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建华为在业界影响力。【岗位要求】【A】1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；5、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术。【岗位方向】【B】1.深入理解无线基站产品的特性和解决方案，构建满足客户需求的系统级客户化验证能力；2.参与基站软件版本端到端的研发流程和项目交付，负责5G产品特性和端到端解决方案的测试方案输出、测试执行，端到端测试环境组网搭建，测试交付件输出，并将相关产品特性测试技能导入维护和客户服务；3.深入理解客户的现网应用场景完成端到端解决方案、产品特性的测试与验收，亲手打造性能最牛的无线网络；4.分析端到端产品及网络行业发展趋势，挖掘价值需求推动并牵引客户网络演进，并在产品版本中得到落地并有效提升产品竞争力；5.负责无线解决方案的准入、比拼、选型，负责局点的研发项目保障和项目管理，保障项目顺利交付；6.参与行业协议标准制定，引导协议发展方向，主导行业准入标准；【岗位要求】【B】1. 通信工程、自动化、电子信息、计算机网络或者软件工程相关工科专业背景；2. 对通信原理，计算机网络，TCP/IP协议or 3Gpp协议，C/python编程语言等专业知识有一定的了解的优先考虑。,一起创造万物互联的数字世界
python/JAVA开发（上海/深圳）,https://www.zhipin.com/job_detail/94406fe5a46091c11HBz3N-5FFFY.html?lid=5VqE11lZkaq.search.7&securityId=GbK8GchhRRFUO-w16vUE2NoUDKITHjHquyulb6CDdd0pIRkJWcD12YwTng1YKpRJrBD3f1ULQxM7GV2p2rt13Qb830dYT93D2oVhB2kHkH3vPqexL6Cvb7Q3Yx_iMo6_v9BZ2X7iN4d2UG8Ah8q8&sessionId=,20-35K·14薪,Python,经验不限,上海·青浦区·金泽,徐先生HR,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20161224/155a6a5ae4352bb52c1f0c83a96f2b0cc4dc3fb7f52f95662e35536710e07b0f.jpg?x-oss-process=image/resize,w_100,limit_0",深圳华为,通信/网络设备,不需要融资,Java,Django,员工旅游，节日福利，带薪年假，股票期权，零食下午茶，公司花园小区，公司上下班车，全勤奖，加班补助，通讯补贴，年终奖，五险一金，免费班车，定期体检，交通补助,10000人以上,MySQL,,,python/JAVA开发（上海/深圳）,"Java
                                    Django
                                    MySQL
                                    Python",岗位职责负责使用Python进行软件系统的设计和开发工作，编写高质量、可维护的代码。对既有系统进行维护，优化代码结构，提升系统性能和稳定性。与产品经理、UI设计师等团队成员紧密合作，深入理解业务需求，参与系统设计和架构规划。根据项目需求，提出合理的技术实现方案，并参与技术方案评审。编写测试用例，对开发的模块进行单元测试，确保代码质量。配合测试团队进行系统测试，定位并修复潜在问题。编写和维护系统相关文档，包括接口文档、系统使用说明等。参与项目相关文档的评审工作，确保文档准确性和完整性。任职要求计算机科学、软件工程或相关专业本科及以上学历。熟练掌握Python编程语言，具备扎实的编程基础。了解数据库技术，如MySQL、PostgreSQL等，具备基本的SQL语句编写能力。熟悉Web开发技术，包括HTML、CSS、JavaScript等。具备良好的面向对象编程思想和设计能力，能够设计并实现复杂的业务逻辑。具有一定的系统分析和设计能力，能够独立完成系统模块的设计与开发。,华为技术有限公司华为技术有限公司是一家生产销售通信设备的民营通信科技公司，于1987年正式注册成立，总部位于中国广东省深圳市龙岗区坂田华为基地。[1]华为是全球领先的信息与通信技术（ICT）解决方案供应商，专注于ICT领域，坚持稳健经营、持续创新、开放合作，在电信运营商、企业、终端和云计算等领域构筑了端到端的解决方案优势，为运营商客户、企业客户和消费者提供有竞争力的ICT解决方案、产品和服务，并致力于实现未来信息社会、构建更美好的全联接世界。2013年，华为首超全球第一大电信设备商爱立信，排名《财富》世界500强第315位。截至2016年底，华为有17万多名员工，华为的产品和解决方案已经应用于全球170多个国家，服务全球运营商50强中的45家及全球1/3的人口。
Python AI工程师,https://www.zhipin.com/job_detail/ca144dedd1f800b61HZ_2Ni6FFpZ.html?lid=5VqE11lZkaq.search.8&securityId=GAfuPJcSb7ZFQ-M12888gHxW0rrydrAytGqIbejeiN-yCejoEF_D2WGlNAYbIAxbmTQUhhkxb6bDQGy_b6jVxeyqkzXEfSr778oRkmOS-BCpbWhhKw~~&sessionId=,15-30K·13薪,Python,1-3年,上海·徐汇区·漕河泾,林女士HRBP,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200917/e3a8a87c487524b5d163babf30d9e9dcaf730fb9259f40f0d6b5917eba67d27f_s.jpg?x-oss-process=image/resize,w_100,limit_0",Versa,互联网,B轮,TensorFlow,PyTorch,零食下午茶，补充医疗保险，股票期权，餐补，五险一金，带薪年假，年终奖，定期体检，节日福利，员工旅游,100-499人,MySQL,云计算经验,,Python AI工程师,"PyTorch
                                    MySQL
                                    云计算经验
                                    Python
                                    TensorFlow",工作职责：1. AI服务探索者：负责公司AI基础服务的开发与维护，确保系统的高效与稳定运行2. GPT和LLM集成专家：熟悉AI大语言模型，对AI充满兴趣，熟练地集成最新的GPTs和其他大型语言模型(LLM)到现有系统中3. Python应用开发者：基于FastAPI框架编写高效、可靠的业务代码4. 云计算实践者：熟悉云计算平台和服务，能够在云环境中高效部署和管理应用5. 沟通与协作能手：具备出色的沟通能力，能够在跨部门项目中顺畅协作6. 快速学习者：对新技术有浓厚兴趣，能迅速掌握并应用于实践基本要求：1. 编程能力：具有2年以上Python编程经验，精通常用算法和数据结2. 技术栈广泛：熟悉至少一种主流云计算平台（如阿里云、Azure、腾讯云、Cloudflare、Vercel等）3. 熟悉numpy，scipy，matplotlib，pandas等数据处理方面常用的第三方python库4. 有机器学习、深度学习和自然语言处理等项目经验者优先，熟悉sklearn、pytorch和tensorflow等框架者优先5. 团队合作：具备良好的团队合作精神，能在多元化团队中发挥作用6. 持续学习：对AI和机器学习领域保持持续的学习和关注，能快速适应技术迭代加分项：在GPT或其他LLM模型集成方面有实际项目经验有使用FastAPI或其他现代Python框架开发RESTful API的经验爱折腾，对各种云服务、公共API都有涉猎和使用,Versa是一家专注于AI+文创领域的人工智能公司，以类脑计算理论为内核，构建概念网络，实现小样本学习和小模型运算，用更为接近人脑的学习方式，为用户提供简单、快捷、高效的工具，解锁图像、视频、音乐等各种复杂的应用场景。Versa的里程碑：2017.4 公司创立（获真格天使轮投资）2017.7 文创类AI产品Versa APP诞生（【风格迁移】、【人景分离】等独特功能）2018.4 校企联合实验室成立（Versa——上海交大脑科学与人工智能联合实验室揭牌）2018.8 【马卡龙】APP上线2018.10 完成Pre-A轮融资（红杉资本加持）2018.12 完成A轮融资（腾讯投资数千万美金）2019.7 【绿幕侠】APP正式上线（实现移动端实时人景分离功能）2019.9 与华为共推AI进步（Versa——华为联合创新实验室成立）2020.10 完成B轮融资（Versa——哔哩哔哩战略合作）2020.10 【不咕剪辑】APP上线（重新定义短视频创作）
Python 开发工程师,https://www.zhipin.com/job_detail/11acf7652f6ef2d51HJ72d61GFVU.html?lid=5VqE11lZkaq.search.9&securityId=hC_mF0Bussc0P-X1Ko-Kj7kMYyo-0BQUmLpyguze_pZjWnFr_pHQngR0KZcE__evP-zoDLPDvbHLtBnOWCZh_AWH0GBzv2_WIrspHZDS2EAX3fuxp-s~&sessionId=,15-30K,团队管理经验,3-5年,上海·杨浦区·五角场,曹先生技术架构,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",上海猫小鼬信息科技,企业服务,20-99人,PyTorch,Django,,,MySQL,Redis,架构设计经验,Python 开发工程师,"团队管理经验
                                    PyTorch
                                    Django
                                    MySQL
                                    Redis
                                    架构设计经验
                                    Linux开发/部署经验
                                    Python","岗位职责: 1. 负责开发和维护AI Agent 框架，构建模块化RAG流程，包括训练流程搭建、指令微调、Prompt工程等；2. 负责基于通用LLM构建行业垂直LLM人工智能知识架构体系建设和研发；3. 负责数据收集、清洗、分析和专用模型训练，确保数据质量和模型性能;4. 负责大模型分布式训练、调优、验证和部署;5. 紧跟业界大模型进展，探索前沿技术，解决业务的实际问题，如智能问答，智能协作，支持业务目标提升；任职要求: 1. 计算机和数学等相关专业本科及以上学历，3年以上NLP相关方向工作经验。2. 有大语言模型(LLM)预训练经验,熟悉相关技术细节和优化策略，如大规模语料收集、模型调优优化、自弱监督学习、强化学习等；3. 有开源LLM的微调和嵌入的实际项目经验，LORA,p-tuning, Embedding等模型结合行业数据的训练和微调经验；熟悉RAG模式，Agent模式；4. 有langchain, llamaIndex等工程经验；5. 精通Python语言，熟悉Django或flask主流框架；6. 具备有良好的代码开发能力，有开源项目开发经验优先，具备良好的数据分析和问题解决能力；7. 具备较强的团队协作能力和沟通能力，有较强的学习能力和业务分析及问题解决能力。（有AI应用开发经验者，请在打招呼的时候主动说一下。）",
Python 开发工程师,https://www.zhipin.com/job_detail/da0ba0187aa4e1011HF60tS1FlpT.html?lid=5VqE11lZkaq.search.10&securityId=sg5CVQtxJXV6a-v15BdKlB3iFO23eMPI68keWFJYj_geEeeew1Gw77xvTja8tSXh_cQ3MbICVjDuzrlI76zKW-sFLxAbmdRgnY_he8I4dT3340ow&sessionId=,15-23K·14薪,Python,3-5年,上海·浦东新区·张江,陈先生CEO,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20160926/6ec397a9221ada590836d344b02610759c62688ccb4b9f2d532c7b88d2987bb5.jpg?x-oss-process=image/resize,w_100,limit_0",TacFinTech,计算机软件,A轮,Pandas,Numpy,员工旅游，年终奖，股票期权，餐补，五险一金，带薪年假，节日福利，零食下午茶,20-99人,Flask,MySQL,量化交易开发经验,Python 开发工程师,"Pandas
                                    MySQL
                                    Numpy
                                    量化交易开发经验
                                    Python
                                    Flask","岗位职责：1、参与公司数据治理系统、日志分析系统等业务平台的开发。2、根据实际产品需求，进行需求分析，数据库设计，接口开发与联调；3、根据需求，进行数据处理算法算法进行开发；4、对已有系统进行功能，性能优化。职位要求：1、计算机或相关专业本科或以上学历；2、熟练掌握Python，具有扎实的计算机基础和编程能力；3、精通数据结构和算法，有很好的面向对象分析和设计能力，精通常用设计模式和主流设计工具；4、精通Pandas,Numpy等数据处理函数库5、至少熟悉一种常见的数据库，例如MySQL、PG等；6、具备解决问题和协作的能力，具有较强的沟通和团队合作能力。7、有数据系统、大数据系统开发经验优先",公司简介上海广策信息技术有限公司（TAC FINTECH ）成立于2017年，由知名风投机构创新工厂李开复、真格基金领投，Sogou CEO王小川等知名投资人跟投，总部上海，致力于引领世界的金融交易系统开发。公司的低延迟交易系统产品线覆盖了市场上主要交易所的各类交易系统，包括商品期货交易系统、股指期货交易系统交易系统、股票及期权等。其中广策极速交易柜台及行情系统，在目前国内商品期货市场上处于绝对领先地位。 公司产品Our Product 公司始终围绕着提供低延迟解决方案进行软硬件产品研发，已实现行情+下单+风控的闭环产品体系。目前，行情系统和柜台系统速度都为市场第一。产品已在多家期货公司及证券公司上线使用并获得广泛认可，产品客户分布在各大交易所。 公司团队 Our Team公司的核心业务骨干由华尔街顶级交易公司及投行的资深交易员，董事总经理以及美国著名IT公司主管工程师组成。其成员均毕业于美国常青藤、北大、清华、复旦等著名高校。更多信息请访问：http://www.tacfintech.cn
